mean_test_f1_macro,mean_test_precision_macro,mean_test_recall_macro,param_activation,param_batch_size,param_epochs,param_conv_activation,param_conv_l2_regularizer,param_dense_activation,param_dense_l2_regularizer,param_dropout_rate,param_filters,param_kernel_size,param_loss_function,param_optimizer,param_units
0.9130120199,0.9149811625,0.9114854375,sigmoid,64,25,relu,0.001,relu,0.001,0.6,320,3,binary_crossentropy,nadam,256
0.9128019288,0.9142477453,0.9124145552,sigmoid,64,25,relu,0.001,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,16
0.9127771538,0.9172342599,0.9092462289,sigmoid,64,25,tanh,0.001,tanh,0.01,0.6,320,3,binary_crossentropy,nadam,64
0.9127536078,0.9183624263,0.9088970996,sigmoid,64,50,tanh,0.001,relu,0.001,0.6,64,3,binary_crossentropy,nadam,16
0.912689548,0.9164783501,0.9098625588,sigmoid,64,25,tanh,0.001,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,16
0.9126225539,0.9183551103,0.9080456475,sigmoid,64,25,relu,0.01,relu,0.001,0.6,320,5,binary_crossentropy,nadam,16
0.9126179426,0.9155203098,0.9111797226,sigmoid,64,50,relu,0.01,relu,0.001,0.6,64,5,binary_crossentropy,nadam,256
0.9125027063,0.9215737372,0.9055999484,sigmoid,64,50,tanh,0.01,relu,0.001,0.6,64,5,binary_crossentropy,nadam,64
0.9123551551,0.923606225,0.9050829372,sigmoid,64,25,tanh,0.001,tanh,0.001,0.6,64,5,binary_crossentropy,nadam,64
0.9116455576,0.92379004,0.9034202346,sigmoid,64,25,tanh,0.001,tanh,0.01,0.6,64,5,binary_crossentropy,nadam,64
0.9116067745,0.9110284047,0.9150921726,sigmoid,64,25,relu,0.01,relu,0.001,0.6,64,5,binary_crossentropy,nadam,64
0.9114742417,0.9108150794,0.9130324821,sigmoid,64,25,tanh,0.01,relu,0.01,0.6,64,5,binary_crossentropy,nadam,256
0.9112907514,0.9118172909,0.9122330635,sigmoid,64,25,tanh,0.001,relu,0.001,0.6,64,5,binary_crossentropy,nadam,64
0.9112162945,0.9217611729,0.9037597049,sigmoid,64,25,relu,0.001,tanh,0.001,0.6,320,3,binary_crossentropy,nadam,16
0.9111778681,0.9139394346,0.9120505059,sigmoid,64,25,relu,0.01,relu,0.01,0.6,64,5,binary_crossentropy,nadam,16
0.9111689235,0.9142077366,0.9099908154,sigmoid,64,25,tanh,0.001,tanh,0.001,0.6,320,5,binary_crossentropy,nadam,64
0.9111595263,0.9161369536,0.9088398474,sigmoid,64,25,relu,0.01,tanh,0.001,0.6,320,5,binary_crossentropy,nadam,64
0.9111436903,0.9129821751,0.9111913968,sigmoid,64,25,relu,0.001,tanh,0.001,0.6,64,5,binary_crossentropy,nadam,16
0.9110448664,0.9107444164,0.9121240221,sigmoid,64,50,relu,0.01,relu,0.01,0.6,64,5,binary_crossentropy,nadam,16
0.9109780966,0.9098122845,0.9143680063,sigmoid,64,50,relu,0.001,tanh,0.001,0.6,64,3,binary_crossentropy,nadam,16
0.9109660382,0.9097845679,0.9138433508,sigmoid,64,25,relu,0.01,tanh,0.001,0.6,320,3,binary_crossentropy,nadam,256
0.9109595096,0.9132450417,0.9102037205,sigmoid,64,50,tanh,0.01,relu,0.01,0.6,64,5,binary_crossentropy,nadam,256
0.9109565234,0.9145084534,0.910320303,sigmoid,64,25,relu,0.01,relu,0.01,0.6,64,3,binary_crossentropy,nadam,64
0.91093847,0.9099411928,0.9130165912,sigmoid,64,25,tanh,0.001,relu,0.01,0.6,64,5,binary_crossentropy,nadam,64
0.9108576332,0.9152164628,0.9076412431,sigmoid,64,50,relu,0.001,relu,0.01,0.6,64,5,binary_crossentropy,nadam,16
0.9108496602,0.9091148021,0.9144970468,sigmoid,64,50,tanh,0.01,tanh,0.001,0.6,64,5,binary_crossentropy,nadam,64
0.9108247506,0.9154329319,0.9072092445,sigmoid,64,25,relu,0.01,relu,0.001,0.6,320,3,binary_crossentropy,nadam,64
0.9108112718,0.9114804383,0.9128232173,sigmoid,64,25,relu,0.001,tanh,0.01,0.6,64,5,binary_crossentropy,nadam,64
0.9107770874,0.909756212,0.9124378875,sigmoid,64,25,relu,0.001,tanh,0.001,0.6,64,3,binary_crossentropy,nadam,256
0.9107675858,0.9136781304,0.9089962289,sigmoid,64,50,relu,0.01,relu,0.001,0.6,64,5,binary_crossentropy,nadam,16
0.9107469733,0.9101689672,0.9116958921,sigmoid,64,50,relu,0.01,tanh,0.01,0.6,64,5,binary_crossentropy,nadam,16
0.9107212774,0.9163214678,0.9081630548,sigmoid,64,25,tanh,0.01,tanh,0.01,0.6,64,5,binary_crossentropy,nadam,256
0.9107142499,0.9105921029,0.9127476359,sigmoid,64,25,relu,0.01,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,256
0.9106724201,0.9171342274,0.9072234034,sigmoid,64,25,tanh,0.01,relu,0.01,0.6,320,5,binary_crossentropy,nadam,16
0.9106243078,0.9113753863,0.9107341838,sigmoid,64,50,tanh,0.01,relu,0.01,0.6,320,3,binary_crossentropy,nadam,64
0.9105615499,0.9095572202,0.9128766765,sigmoid,64,25,relu,0.001,tanh,0.001,0.6,320,3,binary_crossentropy,nadam,64
0.9105370865,0.9170047775,0.9062606125,sigmoid,64,50,tanh,0.01,tanh,0.01,0.6,64,5,binary_crossentropy,nadam,16
0.9105307597,0.9115943144,0.9119482173,sigmoid,64,50,relu,0.001,tanh,0.01,0.6,320,5,binary_crossentropy,nadam,64
0.9105288432,0.9098745595,0.9122478886,sigmoid,64,25,relu,0.001,relu,0.01,0.6,320,3,binary_crossentropy,nadam,256
0.9105211567,0.9081586534,0.9139217181,sigmoid,64,50,relu,0.001,relu,0.001,0.6,64,5,binary_crossentropy,nadam,16
0.9104519455,0.9129222996,0.9085410179,sigmoid,64,50,tanh,0.01,relu,0.01,0.6,64,5,binary_crossentropy,nadam,16
0.9104408175,0.9123775978,0.9099347652,sigmoid,64,50,relu,0.001,tanh,0.001,0.6,64,3,binary_crossentropy,nadam,256
