mean_test_f1_macro,mean_test_precision_macro,mean_test_recall_macro,param_activation,param_batch_size,param_epochs,param_conv_activation,param_conv_l2_regularizer,param_dense_activation,param_dense_l2_regularizer,param_dropout_rate,param_filters,param_kernel_size,param_loss_function,param_optimizer,param_units
0.9165705676,0.9368293654,0.9103207114,sigmoid,64,25,relu,0.01,tanh,0.001,0.6,64,3,binary_crossentropy,nadam,16
0.9163104269,0.9318163272,0.9117020335,sigmoid,64,25,tanh,0.01,relu,0.01,0.6,320,3,binary_crossentropy,nadam,16
0.916171211,0.9449387665,0.9005594585,sigmoid,64,25,relu,0.01,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,16
0.916171211,0.9449387665,0.9005594585,sigmoid,64,50,tanh,0.001,relu,0.001,0.6,64,3,binary_crossentropy,nadam,64
0.9159059161,0.9427073686,0.9070446074,sigmoid,64,50,tanh,0.001,relu,0.001,0.6,320,3,binary_crossentropy,nadam,256
0.9158058647,0.9353071061,0.9061459707,sigmoid,64,50,tanh,0.01,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,256
0.9156916333,0.951909075,0.8972826673,sigmoid,64,25,tanh,0.001,relu,0.001,0.6,320,5,binary_crossentropy,nadam,256
0.9156916333,0.951909075,0.8972826673,sigmoid,64,25,tanh,0.001,tanh,0.01,0.6,320,5,binary_crossentropy,nadam,256
0.914802522,0.9519366064,0.8959324817,sigmoid,64,50,relu,0.001,relu,0.01,0.6,64,5,binary_crossentropy,nadam,256
0.9144635943,0.9351163918,0.905748416,sigmoid,64,25,tanh,0.001,relu,0.01,0.6,64,3,binary_crossentropy,nadam,256
0.9143931488,0.935661113,0.9054308723,sigmoid,64,25,relu,0.01,tanh,0.001,0.6,320,3,binary_crossentropy,nadam,16
0.9142414867,0.9445643445,0.9006630144,sigmoid,64,25,relu,0.001,tanh,0.001,0.6,320,3,binary_crossentropy,nadam,16
0.9142034192,0.9525431918,0.8957184939,sigmoid,64,50,tanh,0.01,relu,0.01,0.6,320,5,binary_crossentropy,nadam,64
0.9141210117,0.9349091832,0.901964354,sigmoid,64,25,tanh,0.01,tanh,0.01,0.6,320,5,binary_crossentropy,nadam,16
0.9138527956,0.9477385088,0.9023071988,sigmoid,64,25,tanh,0.01,relu,0.01,0.6,320,3,binary_crossentropy,nadam,256
0.9138095894,0.9427221097,0.9026599462,sigmoid,64,50,relu,0.01,tanh,0.001,0.6,320,5,binary_crossentropy,nadam,16
0.913657238,0.9507343245,0.8976704263,sigmoid,64,50,tanh,0.01,tanh,0.001,0.6,64,3,binary_crossentropy,nadam,64
0.9135926549,0.9427254706,0.903688521,sigmoid,64,50,relu,0.01,relu,0.001,0.6,64,3,binary_crossentropy,nadam,256
0.9134373838,0.9508698764,0.8926799511,sigmoid,64,50,relu,0.001,relu,0.001,0.6,320,5,binary_crossentropy,nadam,16
0.9132926913,0.9335704112,0.9027898842,sigmoid,64,25,tanh,0.01,tanh,0.001,0.6,320,3,binary_crossentropy,nadam,64
0.9128136183,0.9483892711,0.8909322108,sigmoid,64,50,relu,0.001,tanh,0.01,0.6,64,5,binary_crossentropy,nadam,64
0.9126660955,0.9353118137,0.9031074279,sigmoid,64,25,tanh,0.001,relu,0.01,0.6,64,3,binary_crossentropy,nadam,64
0.912638609,0.9301054483,0.9073133051,sigmoid,64,50,tanh,0.01,tanh,0.001,0.6,320,3,binary_crossentropy,nadam,256
0.9125573761,0.933596557,0.9114985287,sigmoid,64,25,tanh,0.01,relu,0.01,0.6,64,3,binary_crossentropy,nadam,64
0.9124291786,0.940332842,0.8966222789,sigmoid,64,25,tanh,0.01,tanh,0.01,0.6,64,5,binary_crossentropy,nadam,16
0.9121386371,0.9471500254,0.8991651001,sigmoid,64,25,relu,0.001,relu,0.001,0.6,320,5,binary_crossentropy,nadam,64
0.9120366372,0.9493642617,0.8883947786,sigmoid,64,50,tanh,0.001,relu,0.01,0.6,64,5,binary_crossentropy,nadam,256
0.9119815418,0.9305764126,0.9072028732,sigmoid,64,50,tanh,0.01,relu,0.001,0.6,64,3,binary_crossentropy,nadam,64
0.9114723877,0.9340874123,0.9025758964,sigmoid,64,25,tanh,0.01,tanh,0.001,0.6,64,3,binary_crossentropy,nadam,16
0.9113928254,0.9307025343,0.9043790054,sigmoid,64,50,relu,0.01,relu,0.01,0.6,64,5,binary_crossentropy,nadam,16
0.911351578,0.9485075112,0.8886087663,sigmoid,64,50,relu,0.001,tanh,0.001,0.6,320,5,binary_crossentropy,nadam,16
0.9112607569,0.9338264198,0.8997513414,sigmoid,64,50,tanh,0.001,relu,0.01,0.6,64,3,binary_crossentropy,nadam,16
0.9112398005,0.9516163307,0.8934986054,sigmoid,64,50,relu,0.01,tanh,0.001,0.6,64,5,binary_crossentropy,nadam,64
0.9111383449,0.9461893876,0.8913533104,sigmoid,64,25,relu,0.001,relu,0.001,0.6,320,5,binary_crossentropy,nadam,256
0.9111045226,0.9500090022,0.9023071988,sigmoid,64,25,relu,0.01,relu,0.001,0.6,320,3,binary_crossentropy,nadam,256
0.911062248,0.9420789734,0.8932357431,sigmoid,64,25,relu,0.001,relu,0.01,0.6,64,3,binary_crossentropy,nadam,64
0.9106274511,0.9443786229,0.8943994706,sigmoid,64,50,relu,0.01,relu,0.01,0.6,320,3,binary_crossentropy,nadam,64
0.9104514452,0.9357104358,0.9017608492,sigmoid,64,25,tanh,0.01,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,256
0.9103423455,0.9371639536,0.9026899352,sigmoid,64,50,tanh,0.001,relu,0.01,0.6,64,3,binary_crossentropy,nadam,64
0.9101863993,0.9512219841,0.8903565067,sigmoid,64,50,relu,0.001,relu,0.001,0.6,64,5,binary_crossentropy,nadam,256
0.9101716925,0.93998206,0.8991893607,sigmoid,64,50,relu,0.001,tanh,0.001,0.6,64,3,binary_crossentropy,nadam,256
0.9097221771,0.9551491222,0.8907746865,sigmoid,64,25,relu,0.001,relu,0.001,0.6,320,3,binary_crossentropy,nadam,64
0.909358799,0.9532063466,0.8944276914,sigmoid,64,25,relu,0.01,tanh,0.001,0.6,320,5,binary_crossentropy,nadam,256
0.9091182913,0.9395877134,0.896047262,sigmoid,64,50,tanh,0.001,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,64
0.9090805651,0.9276625834,0.8989569478,sigmoid,64,50,relu,0.01,relu,0.001,0.6,320,3,binary_crossentropy,nadam,256
0.9090805651,0.9276625834,0.8989569478,sigmoid,64,50,relu,0.01,tanh,0.001,0.6,320,3,binary_crossentropy,nadam,256
0.9090131081,0.9473359021,0.8853562358,sigmoid,64,50,tanh,0.001,relu,0.001,0.6,320,5,binary_crossentropy,nadam,64
0.9089040084,0.9487894199,0.8862853219,sigmoid,64,25,relu,0.001,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,64
0.9089040084,0.9487894199,0.8862853219,sigmoid,64,25,relu,0.001,tanh,0.001,0.6,64,5,binary_crossentropy,nadam,64
0.9089040084,0.9487894199,0.8862853219,sigmoid,64,25,tanh,0.001,relu,0.001,0.6,64,5,binary_crossentropy,nadam,256
0.9089040084,0.9487894199,0.8862853219,sigmoid,64,50,tanh,0.001,relu,0.001,0.6,64,5,binary_crossentropy,nadam,64
0.9089040084,0.9487894199,0.8862853219,sigmoid,64,25,tanh,0.001,tanh,0.01,0.6,64,5,binary_crossentropy,nadam,256
0.9089040084,0.9487894199,0.8862853219,sigmoid,64,25,tanh,0.001,tanh,0.001,0.6,320,5,binary_crossentropy,nadam,64
0.90839236,0.9345036137,0.9004664397,sigmoid,64,25,relu,0.001,relu,0.001,0.6,64,3,binary_crossentropy,nadam,64
0.9083794805,0.9598453083,0.8951087335,sigmoid,64,50,relu,0.001,tanh,0.01,0.6,320,3,binary_crossentropy,nadam,256
0.9082684597,0.9497849942,0.886181766,sigmoid,64,50,relu,0.001,tanh,0.001,0.6,320,5,binary_crossentropy,nadam,256
0.9081152037,0.9281371934,0.8988465159,sigmoid,64,50,tanh,0.01,relu,0.001,0.6,64,5,binary_crossentropy,nadam,256
0.9081043257,0.9460180496,0.8863059755,sigmoid,64,25,tanh,0.01,relu,0.01,0.6,320,3,binary_crossentropy,nadam,64
0.9079435386,0.9423533547,0.8927911245,sigmoid,64,50,tanh,0.01,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,64
0.9079375571,0.9449322577,0.9044036193,sigmoid,64,25,relu,0.01,relu,0.001,0.6,64,5,binary_crossentropy,nadam,64
0.9078787936,0.963066882,0.8753773882,sigmoid,64,25,relu,0.01,relu,0.01,0.6,320,5,binary_crossentropy,nadam,16
0.907851549,0.9490336314,0.8815685669,sigmoid,64,50,tanh,0.001,tanh,0.001,0.6,64,3,binary_crossentropy,nadam,16
0.9076446405,0.9526178632,0.8912855927,sigmoid,64,25,relu,0.001,relu,0.001,0.6,64,5,binary_crossentropy,nadam,64
0.9076446405,0.9526178632,0.8912855927,sigmoid,64,50,tanh,0.001,relu,0.001,0.6,64,5,binary_crossentropy,nadam,16
0.9075166452,0.9308348052,0.8940055514,sigmoid,64,25,tanh,0.01,relu,0.001,0.6,64,3,binary_crossentropy,nadam,64
0.9073538691,0.943490941,0.8902772113,sigmoid,64,50,relu,0.01,relu,0.001,0.6,64,5,binary_crossentropy,nadam,256
0.9071921695,0.9315952843,0.9044569136,sigmoid,64,50,relu,0.01,tanh,0.01,0.6,64,5,binary_crossentropy,nadam,64
0.9069046511,0.9513063853,0.8870004202,sigmoid,64,50,tanh,0.001,tanh,0.01,0.6,64,5,binary_crossentropy,nadam,256
0.9066025713,0.9573516669,0.8775773646,sigmoid,64,50,relu,0.01,relu,0.01,0.6,320,5,binary_crossentropy,nadam,256
0.9064686302,0.9358462414,0.8910469911,sigmoid,64,25,relu,0.001,tanh,0.001,0.6,64,3,binary_crossentropy,nadam,16
0.9063238436,0.9452208369,0.8811814951,sigmoid,64,25,tanh,0.01,relu,0.01,0.6,320,5,binary_crossentropy,nadam,256
0.9062635268,0.9425066535,0.8872386685,sigmoid,64,25,tanh,0.001,tanh,0.01,0.6,320,3,binary_crossentropy,nadam,64
0.9061965184,0.9163870877,0.9013014123,sigmoid,64,50,tanh,0.01,relu,0.001,0.6,320,3,binary_crossentropy,nadam,256
0.9061279102,0.9358604963,0.8875873487,sigmoid,64,50,relu,0.01,relu,0.001,0.6,320,3,binary_crossentropy,nadam,64
0.9060183236,0.9582101021,0.8786100066,sigmoid,64,25,tanh,0.01,relu,0.001,0.6,64,5,binary_crossentropy,nadam,256
0.9059017523,0.9451199986,0.8822583098,sigmoid,64,25,relu,0.01,tanh,0.001,0.6,64,5,binary_crossentropy,nadam,16
0.9058285118,0.9414307869,0.887666644,sigmoid,64,25,relu,0.01,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,256
0.9056810201,0.9177722213,0.9095184297,sigmoid,64,25,tanh,0.01,tanh,0.001,0.6,320,5,binary_crossentropy,nadam,16
0.9052131214,0.9320182426,0.8930391685,sigmoid,64,50,tanh,0.001,tanh,0.01,0.6,320,3,binary_crossentropy,nadam,16
